z in mm,x in mm,y in mm
620.4376784015224,-1.3026735638149949,-2.656914502265058
619.8097050428164,-1.320192895677611,-2.667611594280947
619.1817316841103,-1.3102444334153762,-2.6677491171708563
618.5537583254044,-1.3320915292123146,-2.6736489419640126
617.9257849666984,-1.327475244155019,-2.6714545070238525
617.2978116079923,-1.3260480087151394,-2.6702429008311728
616.6698382492864,-1.336471683127158,-2.6709200301186415
616.0418648905804,-1.3329901087698444,-2.700160232905439
615.4138915318744,-1.3382382949907645,-2.695732216390643
614.7859181731684,-1.3219320473434044,-2.703776334877922
614.1579448144624,-1.3291257675985486,-2.713277021793587
613.5299714557564,-1.3332215297274377,-2.708800732393784
612.9019980970504,-1.3376897732431487,-2.6736211238868246
612.2740247383445,-1.3427163553966202,-2.673223456344004
611.6460513796385,-1.3521781847294982,-2.67664905726765
611.0180780209324,-1.3502494928675997,-2.6838948206986286
610.3901046622265,-1.361085426037282,-2.6738837912196756
609.7621313035205,-1.3543125022254539,-2.6851584838395746
609.1341579448144,-1.3477186757615274,-2.7272193774574487
608.5061845861085,-1.3434915348095746,-2.716315230558306
607.8782112274025,-1.3546644447178113,-2.6898848070991104
607.2502378686964,-1.3676454224399355,-2.7216797933777204
606.6222645099905,-1.363442549635927,-2.7360149345358735
605.9942911512845,-1.3448880322918164,-2.7076734799683924
605.3663177925785,-1.342802195003628,-2.7192914617467054
604.7383444338725,-1.3746604270569363,-2.7217537257795605
604.1103710751665,-1.4001578847982614,-2.7569219753534044
603.4823977164605,-1.3852067396526981,-2.799408421229726
602.8544243577545,-1.3628741994544236,-2.7305149732551275
602.2264509990486,-1.3752268955285245,-2.730046355580458
601.5984776403425,-1.3700939365491829,-2.7376638926316916
600.9705042816365,-1.3850808050189585,-2.715699992945334
600.3425309229306,-1.377984665864051,-2.7333868479779233
599.7145575642246,-1.3916481541756989,-2.7238970594640595
599.0865842055185,-1.393863333124643,-2.7437020159491166
598.4586108468126,-1.3712493419970146,-2.746368501989591
597.8306374881066,-1.3939626659294198,-2.7368744652595396
597.2026641294005,-1.378650849101988,-2.735389591832772
596.5746907706946,-1.3871176653778803,-2.7319125032104834
595.9467174119886,-1.3963655179369288,-2.739927805755782
595.3187440532826,-1.3814801727816053,-2.7508119369040274
